,tweet_id,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,top_prediction,top_prediction_confidence,top_prediction_is_dog,second_prediction,second_prediction_confidence,second_prediction_is_dog,third_prediction,third_prediction_confidence,third_prediction_is_dog
0,892420643555336193,13,10,Phineas,None,None,None,None,orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False
1,892177421306343426,13,10,Tilly,None,None,None,None,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True
2,891815181378084864,12,10,Archie,None,None,None,None,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
3,891689557279858688,13,10,Darla,None,None,None,None,paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False
4,891327558926688256,12,10,Franklin,None,None,None,None,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True
5,891087950875897856,13,10,None,None,None,None,None,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False
6,890971913173991426,13,10,Jax,None,None,None,None,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False
7,890729181411237888,13,10,None,None,None,None,None,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True
8,890609185150312448,13,10,Zoey,None,None,None,None,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True
9,890240255349198849,14,10,Cassie,doggo,None,None,None,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
10,890006608113172480,13,10,Koda,None,None,None,None,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True
11,889880896479866881,13,10,Bruno,None,None,None,None,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False
12,889665388333682689,13,10,None,None,None,None,puppo,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True
13,889638837579907072,12,10,Ted,None,None,None,None,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True
